date,ticker,adj_close
2020-01-02,VTI,99.7735
2020-01-03,VTI,100.9147
2020-01-06,VTI,101.0633
2020-01-07,VTI,101.6246
2020-01-08,VTI,100.605
2020-01-09,VTI,101.3437
2020-01-10,VTI,101.6321
2020-01-13,VTI,102.0217
2020-01-14,VTI,102.1887
2020-01-15,VTI,103.2793
2020-01-16,VTI,102.3004
2020-01-17,VTI,101.7474
2020-01-20,VTI,101.0347
2020-01-21,VTI,102.428
2020-01-22,VTI,102.5947
2020-01-23,VTI,103.6451
2020-01-24,VTI,105.2264
2020-01-27,VTI,104.2478
2020-01-28,VTI,102.5437
2020-01-29,VTI,102.8582
2020-01-30,VTI,104.6268
2020-01-31,VTI,104.7619
2020-02-03,VTI,103.975
2020-02-04,VTI,103.3702
2020-02-05,VTI,102.7691
2020-02-06,VTI,102.6069
2020-02-07,VTI,103.992
2020-02-10,VTI,104.0013
2020-02-11,VTI,103.1121
2020-02-12,VTI,102.7988
2020-02-13,VTI,104.6861
2020-02-14,VTI,105.2857
2020-02-17,VTI,103.7297
2020-02-18,VTI,104.417
2020-02-19,VTI,104.1383
2020-02-20,VTI,103.2195
2020-02-21,VTI,101.5033
2020-02-24,VTI,103.4315
2020-02-25,VTI,101.1453
2020-02-26,VTI,103.0238
2020-02-27,VTI,103.773
2020-02-28,VTI,104.2918
2020-03-02,VTI,103.9519
2020-03-03,VTI,103.1049
2020-03-04,VTI,103.6717
2020-03-05,VTI,104.3289
2020-03-06,VTI,103.6035
2020-03-09,VTI,103.164
2020-03-10,VTI,103.6355
2020-03-11,VTI,104.9882
2020-03-12,VTI,105.5216
2020-03-13,VTI,106.2913
2020-03-16,VTI,106.9403
2020-03-17,VTI,106.6002
2020-03-18,VTI,106.0836
2020-03-19,VTI,103.7099
2020-03-20,VTI,105.2458
2020-03-23,VTI,106.6905
2020-03-24,VTI,107.4875
2020-03-25,VTI,108.3284
2020-03-26,VTI,106.1149
2020-03-27,VTI,107.8441
2020-03-30,VTI,110.2658
2020-03-31,VTI,111.8449
2020-04-01,VTI,111.5155
2020-04-02,VTI,109.8177
2020-04-03,VTI,110.5796
2020-04-06,VTI,112.6665
2020-04-07,VTI,113.1767
2020-04-08,VTI,112.9334
2020-04-09,VTI,112.2311
2020-04-10,VTI,110.4904
2020-04-13,VTI,110.5792
2020-04-14,VTI,111.6315
2020-04-15,VTI,114.2631
2020-04-16,VTI,113.2512
2020-04-17,VTI,113.0243
2020-04-20,VTI,113.1048
2020-04-21,VTI,112.6936
2020-04-22,VTI,112.7185
2020-04-23,VTI,111.8567
2020-04-24,VTI,111.9131
2020-04-27,VTI,112.0786
2020-04-28,VTI,111.6701
2020-04-29,VTI,113.2993
2020-04-30,VTI,114.3034
2020-05-01,VTI,114.7227
2020-05-04,VTI,117.6798
2020-05-05,VTI,117.8397
2020-05-06,VTI,118.0072
2020-05-07,VTI,118.0826
2020-05-08,VTI,115.0284
2020-05-11,VTI,114.2713
2020-05-12,VTI,114.745
2020-05-13,VTI,114.8037
2020-05-14,VTI,112.9926
2020-05-15,VTI,113.172
2020-05-18,VTI,109.8111
2020-05-19,VTI,109.267
2020-05-20,VTI,109.0552
2020-05-21,VTI,107.3883
2020-05-22,VTI,107.691
2020-05-25,VTI,108.8477
2020-05-26,VTI,110.1183
2020-05-27,VTI,108.3591
2020-05-28,VTI,106.7548
2020-05-29,VTI,106.3096
2020-06-01,VTI,105.0695
2020-06-02,VTI,105.5486
2020-06-03,VTI,104.9587
2020-06-04,VTI,105.6184
2020-06-05,VTI,105.8158
2020-06-08,VTI,106.921
2020-06-09,VTI,107.6464
2020-06-10,VTI,106.9486
2020-06-11,VTI,107.8845
2020-06-12,VTI,108.1543
2020-06-15,VTI,108.1892
2020-06-16,VTI,108.7669
2020-06-17,VTI,110.5891
2020-06-18,VTI,111.6638
2020-06-19,VTI,113.7609
2020-06-22,VTI,111.7078
2020-06-23,VTI,109.1393
2020-06-24,VTI,108.2028
2020-06-25,VTI,107.9691
2020-06-26,VTI,108.1957
2020-06-29,VTI,108.7916
2020-06-30,VTI,107.0507
2020-07-01,VTI,108.5507
2020-07-02,VTI,109.4906
2020-07-03,VTI,109.3265
2020-07-06,VTI,109.1976
2020-07-07,VTI,109.6244
2020-07-08,VTI,112.4726
2020-07-09,VTI,113.7706
2020-07-10,VTI,114.3569
2020-07-13,VTI,114.1405
2020-07-14,VTI,112.5399
2020-07-15,VTI,113.1868
2020-07-16,VTI,111.4154
2020-07-17,VTI,112.1931
2020-07-20,VTI,112.3979
2020-07-21,VTI,111.9459
2020-07-22,VTI,111.2968
2020-07-23,VTI,111.8827
2020-07-24,VTI,107.8838
2020-07-27,VTI,108.172
2020-07-28,VTI,108.956
2020-07-29,VTI,109.6038
2020-07-30,VTI,109.1733
2020-07-31,VTI,110.2978
2020-08-03,VTI,109.6493
2020-08-04,VTI,109.9679
2020-08-05,VTI,110.2707
2020-08-06,VTI,109.7021
2020-08-07,VTI,109.9003
2020-08-10,VTI,107.1177
2020-08-11,VTI,106.6986
2020-08-12,VTI,105.9397
2020-08-13,VTI,106.5004
2020-08-14,VTI,106.6115
2020-08-17,VTI,106.3852
2020-08-18,VTI,105.5322
2020-08-19,VTI,108.1274
2020-08-20,VTI,107.2361
2020-08-21,VTI,108.1418
2020-08-24,VTI,108.3491
2020-08-25,VTI,107.0044
2020-08-26,VTI,107.7402
2020-08-27,VTI,109.8815
2020-08-28,VTI,108.4681
2020-08-31,VTI,107.738
2020-09-01,VTI,108.1323
2020-09-02,VTI,108.0181
2020-09-03,VTI,108.5228
2020-09-04,VTI,110.4464
2020-09-07,VTI,110.6931
2020-09-08,VTI,109.8586
2020-09-09,VTI,111.6147
2020-09-10,VTI,109.7619
2020-09-11,VTI,110.5177
2020-09-14,VTI,110.097
2020-09-15,VTI,111.0269
2020-09-16,VTI,110.4401
2020-09-17,VTI,110.2803
2020-09-18,VTI,110.274
2020-09-21,VTI,111.0859
2020-09-22,VTI,110.9815
2020-09-23,VTI,109.9387
2020-09-24,VTI,109.4288
2020-09-25,VTI,110.6714
2020-09-28,VTI,111.0872
2020-09-29,VTI,110.8128
2020-09-30,VTI,111.9034
2020-10-01,VTI,111.0276
2020-10-02,VTI,111.4898
2020-10-05,VTI,110.4114
2020-10-06,VTI,110.3811
2020-10-07,VTI,111.4821
2020-10-08,VTI,109.578
2020-10-09,VTI,108.3752
2020-10-12,VTI,108.3485
2020-10-13,VTI,107.0453
2020-10-14,VTI,107.3951
2020-10-15,VTI,109.3061
2020-10-16,VTI,109.7708
2020-10-19,VTI,107.7397
